SLURM_JOBID  = 2129946
SLURM_JOB_NODELIST = iris-[019,021]
SLURM_NNODES = 2
SLURM_NTASKS = 2
SLURMTMPDIR  = 
Submission directory = /mnt/irisgpfs/users/sduarte/tutorials/OSU-MicroBenchmarks/runs
# OSU MPI_Get Bandwidth Test v5.5
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       1.49
2                       2.97
4                       5.99
8                      12.04
16                     23.88
32                     46.12
64                     96.61
128                   188.13
256                   354.88
512                   680.97
1024                 1255.91
2048                 2232.16
4096                 3696.90
8192                 5745.19
16384                9048.34
32768               10846.40
65536               10684.55
131072              11530.07
262144              11636.51
524288              11364.28
1048576             11125.48
2097152             11436.88
4194304             11589.07
