SLURM_JOBID  = 2129951
SLURM_JOB_NODELIST = iris-[019,023]
SLURM_NNODES = 2
SLURM_NTASKS = 2
SLURMTMPDIR  = 
Submission directory = /mnt/irisgpfs/users/sduarte/tutorials/OSU-MicroBenchmarks/runs
# OSU MPI_Get latency Test v5.5
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                      34.36
2                      33.30
4                      33.18
8                      33.19
16                     33.23
32                     33.34
64                     32.97
128                    33.27
256                    33.15
512                    33.14
1024                   33.72
2048                   37.15
4096                   38.07
8192                  129.04
16384                 128.48
32768                 173.31
65536                 154.14
131072                187.18
262144                276.73
524288                428.44
1048576               745.75
2097152              1350.22
4194304              2699.74
